"Mapping","Protein.IDs"
"A1m","Q63041"
"A2m","P06238"
"Acp1","Z4YNF4;A0A0G2K394;P41498"
"Actg1;Actbl2;Actb","P63259;P60711;A0A0G2K3K2;D3ZRN3"
"Actg2;Actc1;Acta1;Acta2","A0A0G2K4M6;P68136;P63269;P62738;P68035"
"Acyp1","D4A6X4"
"Adgrf5","A0A0G2JZZ0;Q9WVT0"
"Adipoq","Q8K3R4;A0A0G2K845"
"Afm","G3V9R9;P36953"
"Agt","P01015"
"Ahcy","P10760"
"Ahsg","F1LM19;P24090"
"Akap9","A0A0G2K548;F1LPB4"
"Alad","P06214"
"Alb","A0A0G2JSH5;P02770"
"Aldh9a1","Q9JLJ3;A0A0G2JSI1"
"Aldoa;Aldoc;Aldoart2","P05065;P09117;Q6AY07;A0A0G2K3Q6"
"Aldob","Q66HT1;P00884"
"Ambp","Q64240"
"Amy2a3;Amy2;LOC103689940;Amy1a","P00689;A0A0G2K6T1;E9PSQ1;E9PSI7;G3V844"
"Angpt1","F1LSB2;O35460"
"Angptl3","F7FHP0"
"Angptl8","D3ZMI0"
"Anpep","P15684;A0A0G2JVE6;G3V7W7"
"Anxa7","Q6IRJ7"
"Aox3;Aox4;Xdh","Q5QE80;A0A1B0GWM7;F1LQS6;A0A0G2QC16;Q5QE79;P22985"
"Apcs","P23680;A0A0H2UHH2"
"Apeh","P13676;G3V9E4"
"Apoa1","P04639"
"Apoa2","P04638"
"Apoa4","P02651;A0A0G2JVX7"
"Apob","Q7TMA5;F1M6Z1"
"Apoc2","G3V8D4"
"Apoc3","A0A0G2K8Q1;P06759"
"Apoc4","P55797"
"Apod","M0R4S2;P23593"
"Apoe","P02650;A0A0G2K151"
"Apoh","P26644;Q5I0M1"
"Apom","P14630"
"Apon","Q5M890"
"Arfgef3","D3ZF86"
"Arhgdia","Q5XI73"
"Arhgef7","O55043;A0A0G2QC21"
"Arrdc2","D3ZPW1"
"Atrn","Q99J86"
"Azgp1","Q3B8R6;Q63678"
"B2m","P07151"
"Bhmt","O09171;A0A0G2JSK9"
"Blvrb","B5DF65"
"Bpgm","Q6P6G4;Q7TP58"
"Bpifa2","Q63471"
"Btd","A0A140TAI2;Q5FVF9"
"C1qa","P31720"
"C1qb","P31721;G3V7N9"
"C1qc","A0A0H2UHK1;P31722"
"C1r","D4A1T6;B5DEH7"
"C1rl","F1LP96;Q6IE64"
"C1s","G3V7L3;D4A1S0;Q6P6T1"
"C2","Q6MG73"
"C3 (M0RBF1;M0RBJ7)","M0RBF1;M0RBJ7"
"C3 (P01026)","P01026"
"C4","P08649"
"C4b","Q6MG90"
"C4bpa","Q5M891;Q63514"
"C4bpb","A0A5C5;Q63515"
"C5","A0A1B0GWQ4;A0A1B0GWS5;P08650"
"C6 (F1M7F7)","F1M7F7"
"C6 (Q811M5)","Q811M5"
"C7","A0A0G2K7X7"
"C8a","D3ZWD6"
"C8b","P55314"
"C8g","D3ZPI8"
"C9","Q62930;F7F389"
"Ca1","B0BNN3"
"Ca2","P27139"
"Calm3;Calm2;Calm1;Calml3","M0RCJ6;Q5U206;P0DP31;D4ABV5;P0DP30;P0DP29"
"Capn2","Q07009"
"Carhsp1","Q9WU49"
"Cd300le","F1M9Z5"
"Cd44","D3ZGF1;F1LSA1;P26051;O70509"
"Cd48","P10252"
"Cd55","A0A0G2QC50"
"Cd5l","Q4KM75"
"Ces1e;Ces1d;LOC501233;Ces1f;Ces1c","Q64573;M0R7R1;P10959;D3ZGK7;Q63010;A0A0G2K9Y7;F1LLV6;A0A0G2JY66;G3V822;F1LQJ4;Q63108;A0A0G2JX75;A0A0G2K3Z4"
"Ces2a;Ces2j;Ces2e;Ces2c;Ces2h;LOC100365112;Ces2i;LOC679149","A0A0G2KB83;A0A0G2K455;A0A0G2K1L3;D3ZP14;A0A0G2JV37;O70631;Q8K3R0;Q32Q55;M0R9W7;M0R8J8;D3ZE31;G3V7J5;A0A0G2K0C1;O70177"
"Cfb (A0A0U1RRP9;A0A096MKF9;Q7TP05)","A0A0U1RRP9;A0A096MKF9;Q7TP05"
"Cfb (G3V615)","G3V615"
"Cfd","P32038;A0A1W2Q606;G3V7H3"
"Cfh","G3V9R2;Q5XJW6;F1M983"
"Cfhr1","Q7TP43;Q5I0M3"
"Cfhr2","F1LWS4"
"Cfi","A0A0G2K135;Q9WUW3"
"Cfl1;Cfl2","M0RC65;A0A0G2KA35;P45592"
"Cfp","B0BNN4"
"Chga","Q5PPG5;P10354"
"Clec3b","D3ZUU6"
"Clu","G3V836;A0A0G2KB42;P05371"
"Cntn1","Q63198"
"Col1a1","P02454"
"Col3a1","P13941"
"Cpb2","Q9EQV9"
"Cpn1","Q9EQV8"
"Cpn2","F1LQT4"
"Cpq","Q6IRK9"
"Crp","P48199;A0A0G2K8V5"
"Csf1r","A0A0G2KBC4;D4ACA7;A0A0G2K3Y5"
